"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","GEOID","community"
"T085","41.72147943479403","-87.65062149158746","CDPH",FALSE,60643,17,31,730202,3,170317302023,"WASHINGTON HEIGHTS"
"T086","41.688170589570205","-87.67825167603604","CDPH",FALSE,60643,17,31,750500,1,170317505001,"MORGAN PARK"
"T087","41.68819284945908","-87.67687311237898","CDPH",FALSE,60643,17,31,750500,1,170317505001,"MORGAN PARK"
"T088","41.701009731121545","-87.69150169935061","CDPH",FALSE,60655,17,31,720500,1,170317205001,"BEVERLY"
"T089","41.70433841525342","-87.65708427193195","CDPH",FALSE,60643,17,31,720700,2,170317207002,"BEVERLY"
"T090","41.67688731618708","-87.66122192616795","CDPH",FALSE,60643,17,31,530400,2,170315304002,"WEST PULLMAN"
"T090A","41.69049224370896","-87.65935280145148","CDPH",TRUE,60643,17,31,750600,4,170317506004,"MORGAN PARK"
"T090B","41.683724974638565","-87.65656067097044","CDPH",TRUE,60643,17,31,530300,3,170315303003,"WEST PULLMAN"
"T090C","41.675712635656595","-87.65393947630594","CDPH",TRUE,60643,17,31,530400,2,170315304002,"WEST PULLMAN"
"T091","41.67703235316266","-87.64446507522","CDPH",FALSE,60643,17,31,530400,1,170315304001,"WEST PULLMAN"
"T092","41.67744707247274","-87.6227850122959","CDPH",FALSE,60628,17,31,530501,4,170315305014,"WEST PULLMAN"
"T094","41.72128749967918","-87.66523570170051","CDPH",FALSE,60643,17,31,720100,3,170317201003,"BEVERLY"
"T094B","41.71859581869038","-87.66892624345516","CDPH",TRUE,60643,17,31,720200,3,170317202003,"BEVERLY"
"T095","41.70532764418326","-87.63295536539816","CDPH",FALSE,60628,17,31,491100,1,170314911001,"ROSELAND"
"T095A","41.7047273977372","-87.63805951384876","CDPH",TRUE,60628,17,31,491100,5,170314911005,"ROSELAND"
"T096","41.73242806400838","-87.63105648014084","CDPH",FALSE,60620,17,31,834000,1,170318340001,"ROSELAND"
"T097","41.644720066326094","-87.60185152802353","CDPH",FALSE,60827,17,31,540101,1,170315401011,"RIVERDALE"
"T099","41.73318787971678","-87.55562868950284","CDPH",FALSE,60617,17,31,833900,1,170318339001,"SOUTH CHICAGO"
"T100","41.7177671","-87.5316325","Google",FALSE,60617,17,31,520100,1,170315201001,"EAST SIDE"
"T102","41.695494070048184","-87.60908176561364","CDPH",FALSE,60628,17,31,500200,2,170315002002,"PULLMAN"
"T103","41.6863678","-87.5363922","Google",FALSE,60617,17,31,520600,1,170315206001,"EAST SIDE"
"T104","41.67237617579695","-87.57547737657654","CDPH",FALSE,60633,17,31,838800,2,170318388002,"SOUTH DEERING"
"T107","41.729263505561725","-87.60345868977669","CDPH",FALSE,60619,17,31,440800,2,170314408002,"CHATHAM"
"T114","41.79821072626856","-87.73692496319906","CDPH",FALSE,60632,17,31,570500,2,170315705002,"ARCHER HEIGHTS"
"T114B","41.79799893946895","-87.73691910505724","CDPH",TRUE,60632,17,31,570500,2,170315705002,"ARCHER HEIGHTS"
"T115","41.66238672759086","-87.59017972751752","CDPH",FALSE,60633,17,31,838800,2,170318388002,"SOUTH DEERING"
"T128","41.704687213624375","-87.5642355621286","CDPH",FALSE,60617,17,31,838800,2,170318388002,"SOUTH DEERING"
"T128A","41.70602407606748","-87.56583547865658","CDPH",TRUE,60617,17,31,838800,2,170318388002,"SOUTH DEERING"
"T129","41.89151302234628","-87.60978482187917","CDPH",FALSE,60611,17,31,81402,1,170310814021,"NEAR NORTH SIDE"
"T135","41.6635341","-87.6319993","Google",FALSE,60628,17,31,530503,3,170315305033,"WEST PULLMAN"
"T135B","41.663188493534854","-87.63267835982573","CDPH",TRUE,60628,17,31,530503,3,170315305033,"WEST PULLMAN"
"T138","41.71054240215372","-87.58455893336821","CDPH",FALSE,60617,17,31,510300,3,170315103003,"SOUTH DEERING"
"T138B","41.71082938844816","-87.58452583946809","CDPH",TRUE,60617,17,31,510300,3,170315103003,"SOUTH DEERING"
"T141","41.96158436461","-87.76061670251877","CDPH",FALSE,60630,17,31,150300,2,170311503002,"PORTAGE PARK"
"T142","41.953540120811525","-87.77693904181494","CDPH",FALSE,60634,17,31,150502,2,170311505022,"PORTAGE PARK"
"T143","41.9991197","-87.7955664","Google",FALSE,60631,17,31,100200,1,170311002001,"NORWOOD PARK"
"T144","41.940781697748726","-87.79442975887669","CDPH",FALSE,60634,17,31,171000,3,170311710003,"DUNNING"
"T145","41.9599025","-87.6694229","Google",FALSE,60613,17,31,60200,1,170310602001,"LAKE VIEW"
"T146","41.958005533581535","-87.70218107456284","CDPH",FALSE,60618,17,31,160601,2,170311606012,"IRVING PARK"
"T147","41.93279020985206","-87.7002378838387","CDPH",FALSE,60618,17,31,210700,2,170312107002,"AVONDALE"
"T148","42.0178008501155","-87.68760144594536","CDPH",FALSE,60645,17,31,20100,2,170310201002,"WEST RIDGE"
"T149","41.99455586117901","-87.66942551106938","CDPH",FALSE,60660,17,31,30200,4,170310302004,"EDGEWATER"
"T150","42.00659785873985","-87.677866206975","CDPH",FALSE,60626,17,31,10701,1,170310107011,"ROGERS PARK"
"T151","41.91613471854847","-87.80109280863755","CDPH",FALSE,60707,17,31,250500,4,170312505004,"AUSTIN"
"T152","41.845715401799","-87.7158985974353","CDPH",FALSE,60623,17,31,300600,2,170313006002,"SOUTH LAWNDALE"
"T153","41.90933995853726","-87.76107828229969","CDPH",FALSE,60639,17,31,250700,5,170312507005,"AUSTIN"
"T154","41.920412159677035","-87.75249946658316","CDPH",FALSE,60639,17,31,191100,5,170311911005,"BELMONT CRAGIN"
"T155","41.77600539167921","-87.77940766760916","CDPH",FALSE,60638,17,31,640600,3,170316406003,"CLEARING"
"T156","41.77239228297989","-87.7398164742613","CDPH",FALSE,60629,17,31,640800,2,170316408002,"CLEARING"
"T157","41.82647646684649","-87.64673197961164","CDPH",FALSE,60609,17,31,839900,2,170318399002,"BRIDGEPORT"
"T158","41.6821804028987","-87.71009165099498","CDPH",FALSE,60655,17,31,740400,4,170317404004,"MOUNT GREENWOOD"
"T159","41.73144685817715","-87.64972225277589","CDPH",FALSE,60620,17,31,730202,1,170317302021,"WASHINGTON HEIGHTS"
"T160","41.690922985124566","-87.68225967398746","CDPH",FALSE,60655,17,31,750400,1,170317504001,"MORGAN PARK"
"T161","41.71817102244511","-87.67485882342494","CDPH",FALSE,60643,17,31,720300,2,170317203002,"BEVERLY"
"T162","41.72403383684215","-87.61434507516306","CDPH",FALSE,60619,17,31,490300,1,170314903001,"ROSELAND"
"T200","41.65667699900608","-87.5594407188114","CDPH",FALSE,60633,17,31,550200,2,170315502002,"HEGEWISCH"
"T200A","41.66010535917154","-87.54698761304829","CDPH",TRUE,60633,17,31,550100,6,170315501006,"HEGEWISCH"
"T200B","41.64831068933974","-87.55963204714429","CDPH",TRUE,60633,17,31,550200,2,170315502002,"HEGEWISCH"
"T203","41.65678913914596","-87.5594401791304","CDPH",FALSE,60633,17,31,550200,2,170315502002,"HEGEWISCH"
"T206","41.65483844760961","-87.54215855362166","CDPH",FALSE,60633,17,31,550100,5,170315501005,"HEGEWISCH"
"T209","41.657068875649955","-87.54604886505916","CDPH",FALSE,60633,17,31,550100,6,170315501006,"HEGEWISCH"
