"FID_noaa_w","Field1","STATION","NAME","location","LATITUDE","LONGITUDE","ELEVATION","nrows","min_date","max_date","AWND_n","DAPR_n","DASF_n","EVAP_n","FMTM_n","MDPR_n","MDSF_n","MNPN_n","MXPN_n","PGTM_n","PRCP_n","SN32_n","SN52_n","SNOW_n","SNWD_n","SX32_n","SX52_n","TAVG_n","TMAX_n","TMIN_n","TOBS_n","WDF2_n","WDF5_n","WDMV_n","WESD_n","WESF_n","WSF2_n","WSF5_n","WSFG_n","WT01_n","WT02_n","WT03_n","WT04_n","WT05_n","WT06_n","WT07_n","WT08_n","WT09_n","WT10_n","WT11_n","WT13_n","WT14_n","WT15_n","WT16_n","WT17_n","WT18_n","WT19_n","WT21_n","WT22_n","SN53_n","SX53_n","tavg2_n","FID_tl_201","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
229,230,"US1ILWL0097","NEW LENOX 3.3 E, IL US","(41.5193,-87.9193)",41.5193,-87.9193,207,2407,4/26/2012,12/30/2018,0,0,0,0,0,0,0,0,0,0,2407,0,0,1836,908,0,0,0,0,0,0,0,0,0,601,909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,"60451","60451","B5","G6350","S",66368268,193001,"+41.5076473","-087.9610892"
221,222,"US1ILWL0066","FRANKFORT 2.0 NNE, IL US","(41.5239,-87.8195)",41.5239,-87.8195,212,363,4/10/2010,9/18/2012,0,0,0,0,0,0,0,0,0,0,363,0,0,207,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27239,"60423","60423","B5","G6350","S",94442018,6765,"+41.4773492","-087.8324186"
232,233,"US1ILWL0111","NEW LENOX 1.0 NE, IL US","(41.5272,-87.9676)",41.5272,-87.9676,208,287,4/9/2014,2/6/2015,0,0,0,0,0,0,0,0,0,0,287,0,0,170,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,"60451","60451","B5","G6350","S",66368268,193001,"+41.5076473","-087.9610892"
223,224,"US1ILWL0072","NEW LENOX 2.9 ENE, IL US","(41.5303,-87.9296)",41.5303,-87.9296,212,1570,5/21/2010,11/16/2018,0,0,0,0,0,0,0,0,0,0,1569,0,0,916,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10403,"60451","60451","B5","G6350","S",66368268,193001,"+41.5076473","-087.9610892"
213,214,"US1ILWL0042","MOKENA 1.3 W, IL US","(41.5313,-87.9012)",41.5313,-87.9012,218,1111,4/7/2008,2/11/2018,0,0,0,0,0,0,0,0,0,0,1107,0,0,738,46,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10397,"60448","60448","B5","G6350","S",46992183,37161,"+41.5377848","-087.8924511"
99,100,"US1ILCK0229","FLOSSMOOR 1.2 ESE, IL US","(41.5319,-87.6641)",41.5319,-87.6641,202,592,12/22/2013,11/4/2018,0,0,0,0,0,0,0,0,0,0,590,0,0,319,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26920,"60422","60422","B5","G6350","S",10903427,0,"+41.5369711","-087.6841022"
274,275,"US1INLK0088","HOBART 1.0 E, IN US","(41.5334,-87.2491)",41.5334,-87.2491,189,455,4/25/2016,6/16/2018,0,0,0,0,0,0,0,0,0,0,455,0,0,23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21653,"46342","46342","B5","G6350","S",91232848,997039,"+41.5181847","-087.2449075"
248,249,"US1INLK0018","HIGHLAND 1.1 S, IN US","(41.5336,-87.4552)",41.5336,-87.4552,190,870,3/28/2007,9/19/2015,0,0,0,0,0,0,0,0,0,0,870,0,0,706,5,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21647,"46322","46322","B5","G6350","S",17915313,95626,"+41.5466221","-087.4576162"
74,75,"US1ILCK0170","FLOSSMOOR 0.5 SW, IL US","(41.5341,-87.6905)",41.5341,-87.6905,210,998,9/13/2010,12/11/2018,0,0,0,0,0,0,0,0,0,0,998,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26920,"60422","60422","B5","G6350","S",10903427,0,"+41.5369711","-087.6841022"
33,34,"US1ILCK0076","FLOSSMOOR 1.1 ESE, IL US","(41.5345,-87.6646)",41.5345,-87.6646,206,505,5/12/2007,7/30/2016,0,0,0,0,0,0,0,0,0,0,505,0,0,369,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26920,"60422","60422","B5","G6350","S",10903427,0,"+41.5369711","-087.6841022"
