"","trap.name","lat","lng","lat.lng.src","satellite.ind","trap_type","date","erraticus.NumMosquitos","pipiens.NumMosquitos","pipiens_restuans.NumMosquitos","restuans.NumMosquitos","salinarius.NumMosquitos","tarsalis.NumMosquitos","territans.NumMosquitos","unspecified.NumMosquitos","tot.NumMosquitos","erraticus.WnvPresent","pipiens.WnvPresent","pipiens_restuans.WnvPresent","restuans.WnvPresent","salinarius.WnvPresent","tarsalis.WnvPresent","territans.WnvPresent","unspecified.WnvPresent","any.WnvPresent","mo","wk","day.of.wk","day.of.wk.name","location","yr"
"2983","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-07-31,0,0,4,2,0,0,0,0,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7,31,6,"Thu","(41.89221998323666,-87.69169772868295)",2009
"2984","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-08-07,0,1,9,5,0,0,0,0,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,32,6,"Thu","(41.89221998323666,-87.69169772868295)",2009
"2985","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-08-13,0,0,3,1,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,33,5,"Wed","(41.89221998323666,-87.69169772868295)",2009
"2986","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-08-25,0,0,3,0,0,0,1,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,34,3,"Mon","(41.89221998323666,-87.69169772868295)",2009
"2987","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-09-03,0,0,2,2,0,0,0,0,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,36,5,"Wed","(41.89221998323666,-87.69169772868295)",2009
"2988","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-09-14,0,0,3,0,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,37,2,"Sun","(41.89221998323666,-87.69169772868295)",2009
"2989","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-09-17,0,0,4,3,0,0,0,0,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,38,5,"Wed","(41.89221998323666,-87.69169772868295)",2009
"2990","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-09-25,0,0,3,0,0,0,0,0,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,9,39,6,"Thu","(41.89221998323666,-87.69169772868295)",2009
"2991","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2009-10-01,0,2,0,0,0,0,0,0,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10,40,5,"Wed","(41.89221998323666,-87.69169772868295)",2009
"2992","T046","41.89221998323666","-87.69169772868295","CDPH",FALSE,"GRAVID",2010-06-11,0,0,0,1,0,0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,6,24,6,"Thu","(41.89221998323666,-87.69169772868295)",2010
