SUMLEVEL,GEOID,FILETYPE,year,tot_pop,male_pct,female_pct,age_median,tot_under18_pct,tot_18to64_pct,tot_65plus_pct,raceeth_white_pct,raceeth_aa_pct,raceeth_aian_pct,raceeth_asian_pct,raceeth_hpi_pct,raceeth_other_pct,raceeth_mult_pct,raceeth_hispanic_pct
140,14000US17031040300,2017e5,2017,2999,0.4044681561,0.5955318439,45,0.1510503501,0.6565521841,0.1923974658,0.5098366122,0.036678893,0,0.2677559186,0,0,0.0560186729,0.1297099033
140,14000US17031040401,2017e5,2017,3182,0.5091137649,0.4908862351,36.2,0.1477058454,0.766813325,0.0854808297,0.6499057197,0.0612822124,0,0.0659962288,0,0,0.024512885,0.1983029541
140,14000US17031040402,2017e5,2017,5035,0.5269116187,0.4730883813,32.8,0.1847070506,0.7656405164,0.049652433,0.8023833168,0.0135054618,0,0.0724925521,0,0.002979146,0.027408143,0.0812313803
140,14000US17031040600,2017e5,2017,2702,0.4248704663,0.5751295337,34.6,0.1817172465,0.7464840859,0.0717986677,0.763138416,0.0362694301,0,0.0177646188,0,0.0022205774,0.0151739452,0.1654330126
140,14000US17031040700,2017e5,2017,3325,0.4745864662,0.5254135338,36.4,0.162406015,0.767518797,0.070075188,0.6694736842,0.0264661654,0,0.0562406015,0,0,0.072481203,0.1753383459
140,14000US17031040800,2017e5,2017,1813,0.499724214,0.500275786,36.6,0.1649200221,0.6828461114,0.1522338665,0.7374517375,0.0386100386,0,0.0617760618,0,0,0.0694980695,0.0926640927
140,14000US17031040900,2017e5,2017,1909,0.4442116291,0.5557883709,34.4,0.1110529073,0.8250392876,0.0639078051,0.8716605553,0.0209533787,0,0.0204295443,0,0,0.0345730749,0.0523834468
140,14000US17031050100,2017e5,2017,2711,0.4924382147,0.5075617853,33.3,0.2076724456,0.7148653633,0.0774621911,0.7672445592,0.0350424198,0.0140169679,0.0582810771,0,0,0.0413131686,0.0841018075
140,14000US17031050200,2017e5,2017,5214,0.4817798236,0.5182201764,36.7,0.2433831991,0.60951285,0.1471039509,0.7646720368,0.0327963176,0,0.0381664749,0.0030686613,0,0.0577291906,0.1035673188
140,14000US17031050300,2017e5,2017,2562,0.5113192818,0.4886807182,38.4,0.2080405933,0.6787665886,0.1131928181,0.6194379391,0,0.0097580016,0.1284153005,0,0,0.0117096019,0.2306791569
140,14000US17031050500,2017e5,2017,6311,0.4915227381,0.5084772619,34.3,0.2809380447,0.6423704643,0.076691491,0.8333069244,0.0071304072,0,0.0320076058,0,0,0.0613215021,0.0662335605
140,14000US17031050600,2017e5,2017,2238,0.481233244,0.518766756,33.5,0.1398570152,0.8078641644,0.0522788204,0.8780160858,0.0022341376,0,0.0688114388,0,0,0.0026809651,0.0482573727
140,14000US17031050700,2017e5,2017,1593,0.4689265537,0.5310734463,31.9,0.2059008161,0.736346516,0.0577526679,0.9058380414,0.003138732,0.0025109856,0.037037037,0,0,0.0182046453,0.0332705587
140,14000US17031050800,2017e5,2017,1476,0.4952574526,0.5047425474,33.5,0.25,0.6822493225,0.0677506775,0.8340108401,0.0081300813,0,0.0169376694,0,0,0.0203252033,0.120596206
140,14000US17031050900,2017e5,2017,1462,0.5307797538,0.4692202462,33.7,0.2503419973,0.6634746922,0.0861833105,0.744870041,0.0047879617,0,0.0813953488,0,0.0212038304,0.0225718194,0.1251709986
140,14000US17031051000,2017e5,2017,1783,0.4980370163,0.5019629837,32.7,0.2546270331,0.6775098149,0.067863152,0.6231071228,0.0392596747,0,0.067863152,0,0,0.0280426248,0.2417274257
140,14000US17031051100,2017e5,2017,1670,0.5245508982,0.4754491018,34.4,0.2586826347,0.6616766467,0.0796407186,0.7574850299,0,0,0.0275449102,0,0.0095808383,0.0167664671,0.1886227545
140,14000US17031051200,2017e5,2017,1623,0.4892174985,0.5107825015,30.9,0.2439926063,0.7097966728,0.0462107209,0.741219963,0.0918052988,0,0.0320394331,0,0.0092421442,0.0295748614,0.0961182994
140,14000US17031051300,2017e5,2017,2783,0.514552641,0.485447359,33.9,0.2486525332,0.6999640676,0.0513833992,0.8803449515,0,0,0.0334171757,0,0,0.0194035214,0.0668343514
140,14000US17031051400,2017e5,2017,1814,0.5325248071,0.4674751929,33.5,0.203969129,0.7381477398,0.0578831312,0.7342888644,0.0325248071,0,0.0501653804,0,0,0.1141124587,0.0689084895
140,14000US17031060100,2017e5,2017,2773,0.4792643347,0.5207356653,34.7,0.2196177425,0.7280923188,0.0522899387,0.7857915615,0.0403894699,0,0.0302921024,0,0,0.0180310133,0.1254958529
140,14000US17031060200,2017e5,2017,2279,0.4914436156,0.5085563844,31.3,0.168056165,0.7617376042,0.0702062308,0.7003071523,0.0127248793,0,0.0552874068,0.0013163668,0.0048266784,0.0254497587,0.2000877578
140,14000US17031060300,2017e5,2017,3461,0.5076567466,0.4923432534,30.7,0.22305692,0.7188673794,0.0580757007,0.8217278243,0.0092458827,0.003467206,0.0699219879,0,0,0.0182028316,0.0774342676
140,14000US17031060400,2017e5,2017,3980,0.4869346734,0.5130653266,30.5,0.206281407,0.756281407,0.0374371859,0.7683417085,0.0067839196,0.0055276382,0.0494974874,0,0,0.043718593,0.1261306533
140,14000US17031060500,2017e5,2017,1306,0.47856049,0.52143951,38.9,0.1324655436,0.5880551302,0.2794793262,0.6707503828,0.0581929556,0,0.0727411945,0,0,0.0260336907,0.1722817764
140,14000US17031060800,2017e5,2017,4825,0.4907772021,0.5092227979,33.7,0.0837305699,0.8037305699,0.1125388601,0.8089119171,0.0387564767,0,0.0760621762,0,0,0.0238341969,0.0524352332
140,14000US17031060900,2017e5,2017,7529,0.4859875149,0.5140124851,33.7,0.0835436313,0.8342409351,0.0822154337,0.6864125382,0.061229911,0.0059768894,0.0411741267,0,0,0.0316111037,0.173595431
140,14000US17031061000,2017e5,2017,2085,0.6230215827,0.3769784173,28.8,0.0585131894,0.9083932854,0.0330935252,0.7395683453,0.0148681055,0,0.0585131894,0,0,0.0158273381,0.1712230216
140,14000US17031061100,2017e5,2017,1421,0.5904292752,0.4095707248,26.9,0.0837438424,0.8923293455,0.0239268121,0.9071076707,0.0204081633,0,0.0492610837,0,0,0.0035186488,0.0197044335
140,14000US17031061200,2017e5,2017,1897,0.5218766473,0.4781233527,27,0.1507643648,0.8160253031,0.0332103321,0.8439641539,0.0115972588,0,0.0474433316,0,0,0.012124407,0.0848708487
140,14000US17031061500,2017e5,2017,1917,0.5221700574,0.4778299426,29,0.1194574857,0.8403755869,0.0401669275,0.8414188837,0.0166927491,0,0.0333854982,0,0,0.0354720918,0.0730307773
140,14000US17031061800,2017e5,2017,1212,0.5396039604,0.4603960396,29.3,0.0767326733,0.8432343234,0.0800330033,0.6650165017,0.0544554455,0,0.0775577558,0,0.004950495,0.0709570957,0.1270627063
