"trap.name","rev.lat","rev.lng","lat.lng.src","satellite.ind","ZCTA5CE10","STATEFP","COUNTYFP","TRACTCE","BLKGRPCE","BlkGrp.geoid","community","zone_class","zone_type","Tract.geoid","LT_HS_pct__BlkGrp2017","median_HHInc__BlkGrp2017","LT_Pov_pct__BlkGrp2017","LT_HS_pct__Tract2017","median_HHInc__Tract2017","LT_Pov_pct__Tract2017"
"T135","41.6635341","-87.6319993","Google",FALSE,60628,17,31,530503,3,170315305033,"WEST PULLMAN","RS-2","4",17031530503,9.262295082,25455,37.560503388,13.695899772,35074,29.621380846
"T135B","41.663188493534854","-87.63267835982573","CDPH",TRUE,60628,17,31,530503,3,170315305033,"WEST PULLMAN","M3-3","3",17031530503,9.262295082,25455,37.560503388,13.695899772,35074,29.621380846
"T138","41.71054240215372","-87.58455893336821","CDPH",FALSE,60617,17,31,510300,3,170315103003,"SOUTH DEERING","M3-3","3",17031510300,7.6363636364,NA,34.682860999,11.210262131,30625,23.155265181
"T138B","41.71082938844816","-87.58452583946809","CDPH",TRUE,60617,17,31,510300,3,170315103003,"SOUTH DEERING","M3-3","3",17031510300,7.6363636364,NA,34.682860999,11.210262131,30625,23.155265181
"T141","41.96158436461","-87.76061670251877","CDPH",FALSE,60630,17,31,150300,2,170311503002,"PORTAGE PARK","RS-3","4",17031150300,6.0445387063,51709,22.113821138,9.105459719,74106,13.191802675
"T142","41.953540120811525","-87.77693904181494","CDPH",FALSE,60634,17,31,150502,2,170311505022,"PORTAGE PARK","B3-2","1",17031150502,1.9505851756,48856,19.411764706,10.653505786,57857,16.973024588
"T143","41.9991197","-87.7955664","Google",FALSE,60631,17,31,100200,1,170311002001,"NORWOOD PARK","RS-2","4",17031100200,3.7894736842,68352,15.336463224,7.8319006686,70549,6.3771636805
"T144","41.940781697748726","-87.79442975887669","CDPH",FALSE,60634,17,31,171000,3,170311710003,"DUNNING","RS-2","4",17031171000,21.812080537,50093,2.3319615912,13.973558575,67308,8.5428458602
"T145","41.8157323","-87.6655132","Google",FALSE,60613,17,31,60200,1,170310602001,"LAKE VIEW","RT-4","4",17031060200,4.5407636739,67900,5.2356020942,6.161971831,69650,16.586222027
"T146","41.958005533581535","-87.70218107456284","CDPH",FALSE,60618,17,31,160601,2,170311606012,"IRVING PARK","RS-3","4",17031160601,21.607142857,78512,12.113720643,16.391461941,67113,11.785519869
"T147","41.93279020985206","-87.7002378838387","CDPH",FALSE,60618,17,31,210700,2,170312107002,"AVONDALE","RS-3","4",17031210700,17.818574514,61111,30.040053405,21.836065574,51758,23.784681053
"T148","42.0178008501155","-87.68760144594536","CDPH",FALSE,60645,17,31,20100,2,170310201002,"WEST RIDGE","RT-3.5","4",17031020100,20.213799806,44569,22.855227882,21.161382259,49318,18.91634981
"T149","41.99455586117901","-87.66942551106938","CDPH",FALSE,60660,17,31,30200,4,170310302004,"EDGEWATER","RS-3","4",17031030200,15.219123506,47589,9.2605390463,7.6738032235,64089,11.407814648
