GEOG,2000_POP,2010_POP,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,POLISH,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER
Near West Side,46419,54881,62560,11969,26823,12502,6978,2744,1255,289,30.7,26071,6105,18559,10267,1558,57414,54272,38477,34925,3512,15795,2020,32395,12104,1445,8709,9428,709,N/A,8940,14267,4264,637,42174,3511,4597,4659,1482,14689,13236,7331,2893,3739,3092,4542,6511,75736,28108,9983,18125,2718,30826,1075,2701,1524,3166,22323,4.0,11844,8217,3012,7753,N/A,13390,11012,4789,1357,278,27817,Professional,Health Care,Finance,Education,Administration,4638,3550,3056,2677,2047,122367,Health Care,Finance,Professional,Administration,Accommodation and Food Service,24200,19503,15906,13018,8907,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,8484,7861,3695,2698,545,Outside of Chicago,Lake View,West Town,Near West Side,Near North Side,58726,4418,3819,3695,3540,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10068,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.484,3638.486,146.504,0.04027,351.163,0.09651,47.575,0.01308,392.942,0.10800,567.487,0.15597,300.506,0.08259,1571.425,0.43189,N/A,N/A,55.649,0.01529,205.234,0.05641,12852,9315,3176,2765,10506,1705,17602,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,48391,10646,59037,44889,14148,4116,44889,3651,806,2983,313,266,786,1114,3838,391,11731,4415,24546,4861,866
New City,51721,44377,41098,13725,9613,7856,6351,2197,1065,290,30.2,4970,25261,9490,977,400,40724,30209,18715,14798,3917,11494,242,14298,7719,2584,3062,887,46,N/A,3148,5269,2468,1071,23791,7476,10661,3235,768,1167,484,4799,3730,1772,884,568,200,30623,11953,4484,7464,3524,15473,3598,283,6090,4058,1403,5.4,802,1812,4410,8449,N/A,1899,6103,5461,1341,668,12133,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Administration,1425,1416,1369,1337,1302,11288,Manufacturing,Wholesale Trade,Retail Trade,Transportation,Other Service,4438,1322,1251,978,839,Outside of Chicago,The Loop,New City,Near North Side,Near West Side,4763,1613,676,667,658,Outside of Chicago,New City,Brighton Park,Bridgeport,Gage Park,4938,676,404,271,264,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11730,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.722,3090.839,244.780,0.07920,330.238,0.10684,31.041,0.01004,162.766,0.05266,87.993,0.02847,702.639,0.22733,1141.026,0.36916,N/A,N/A,83.303,0.02695,307.052,0.09934,2820,2502,2109,4522,8387,2222,3565,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25260,12381,37641,16043,21598,10589,16043,20487,137,721,71,50,7,36,79,10,6789,25948,18252,146,586
North Center,31895,31867,34942,8266,10302,9454,4024,1602,808,486,33.8,26996,4378,713,1563,1292,34862,27315,21888,20953,922,5427,1913,18835,9294,1032,6794,1547,168,N/A,1867,7373,4715,594,25284,1548,2478,2807,925,10509,7017,1416,1870,2185,1986,2677,4415,97703,14549,7476,7073,1651,16200,4004,560,3802,3555,4279,5.7,2888,1699,1720,9893,N/A,2825,6772,4036,1632,935,17264,Professional,Health Care,Education,Finance,Accommodation and Food Service,2822,1916,1681,1654,1468,9818,Finance,Accommodation and Food Service,Manufacturing,Information,Retail Trade,2142,981,933,923,856,Outside of Chicago,The Loop,Near North Side,Near West Side,Lake View,4993,4621,1979,1103,570,Outside of Chicago,North Center,Lake View,Irving Park,Lincoln Square,3858,553,473,310,303,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11868,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.351,1309.783,238.678,0.18223,303.333,0.23159,46.827,0.03575,73.454,0.05608,76.234,0.05820,87.000,0.06642,437.140,0.33375,N/A,N/A,38.672,0.02953,8.444,0.00645,4491,4892,2466,2700,7952,548,6597,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28105,3676,31781,26776,5005,1322,26776,2723,364,117,297,105,33,201,1052,113,21938,6496,1333,1324,804
North Lawndale,41768,35912,35423,11606,8491,5864,5906,1951,1055,550,29.6,796,2897,31112,83,535,34467,25867,13015,10193,2822,12852,458,9494,4656,965,3236,433,204,N/A,4999,4243,1497,415,20497,5471,6533,5239,1123,1484,647,5775,2558,1472,727,470,152,24003,11154,2843,8311,3474,14628,1747,390,4003,4962,3513,5.6,1695,1184,1487,10262,N/A,1664,5030,6075,1523,336,10837,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,2167,1388,1245,1030,851,7935,Health Care,Manufacturing,Retail Trade,Education,Accommodation and Food Service,3240,1488,817,653,430,Outside of Chicago,The Loop,Near West Side,Near North Side,North Lawndale,4203,1495,692,672,372,Outside of Chicago,North Lawndale,Austin,South Lawndale,West Town,3200,372,315,287,178,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8495,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.114,2054.349,112.579,0.05480,353.545,0.17210,20.742,0.01010,72.116,0.03510,126.770,0.06171,227.850,0.11091,671.908,0.32707,N/A,N/A,171.437,0.08345,297.402,0.14477,3033,2883,1935,3303,7621,3025,3533,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31366,1185,32551,29757,2794,1034,29757,2425,36,0,0,3,51,26,159,94,383,1896,39164,54,271
North Park,18514,17931,18743,4661,3937,3714,2810,1850,1171,600,38.2,9642,3092,448,5121,440,18095,15086,9192,8408,784,5894,372,7738,4748,907,1385,606,92,N/A,1059,2748,1888,680,12948,1443,2642,2312,697,3889,1965,1677,1317,870,849,826,836,54388,6375,3237,3138,613,6988,2106,151,1064,1222,2417,5.4,261,1677,2402,2648,N/A,1859,2397,2003,547,182,6515,Health Care,Retail Trade,Education,Accommodation and Food Service,Professional,1138,707,706,582,500,5127,Health Care,Retail Trade,Education,Manufacturing,Accommodation and Food Service,955,692,606,558,501,Outside of Chicago,The Loop,Near North Side,Near West Side,North Park,2843,1008,411,218,209,Outside of Chicago,West Ridge,North Park,Albany Park,Irving Park,2483,267,209,151,118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15313,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.780,1613.607,250.837,0.15545,247.841,0.15359,5.214,0.00323,79.262,0.04912,390.977,0.24230,70.332,0.04359,316.217,0.19597,N/A,N/A,244.568,0.15157,8.357,0.00518,1893,1666,1010,1806,4139,463,2236,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9873,7561,17434,7668,9766,4115,7668,2124,866,474,501,841,539,579,3335,507,10336,2652,452,4415,659
Norwood Park,37543,37023,36164,7522,5654,8106,7812,3174,2279,1618,44.3,29774,4225,169,1178,818,35614,29608,19128,18007,1121,10480,649,17154,13498,1498,1775,348,35,N/A,1844,5130,5662,1884,27012,2104,6987,5967,2220,6256,3477,2632,2452,2518,1993,2730,2193,71405,14518,11432,3086,1245,15762,10909,201,1084,757,2802,5.9,262,2579,9496,3425,N/A,2013,5092,6501,1652,504,18232,Education,Health Care,Public Administration,Retail Trade,Professional,2264,2184,2093,1628,1404,13863,Health Care,Administration,Accommodation and Food Service,Retail Trade,Finance,8092,1295,797,637,507,Outside of Chicago,The Loop,Near North Side,Norwood Park,Near West Side,8555,4076,827,694,547,Outside of Chicago,Norwood Park,Portage Park,Dunning,Lake View,7312,694,368,319,271,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14904,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.325,2799.796,1320.782,0.47174,133.697,0.04775,13.144,0.00469,98.051,0.03502,197.635,0.07059,15.398,0.00550,895.535,0.31986,N/A,N/A,111.921,0.03997,13.632,0.00487,4924,4336,2088,3170,9013,421,5505,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26617,7411,34027,23699,10328,3977,23699,2488,4637,131,586,449,26,120,1787,105,33176,2404,332,1212,419
Oakland,6110,5918,6474,2192,1217,1396,967,509,157,36,33.1,125,240,5949,124,36,6474,4800,3197,2518,679,1603,115,2300,1127,185,869,115,4,N/A,1172,1395,211,82,3762,578,856,1124,294,468,442,1293,755,338,203,163,108,28231,2860,414,2446,271,3131,222,91,117,283,2418,4.4,1512,800,587,232,N/A,1097,1074,720,134,106,2325,Health Care,Education,Administration,Accommodation and Food Service,Retail Trade,411,290,230,212,199,190,Health Care,Real Estate,Education,Retail Trade,Accommodation and Food Service,91,63,15,7,6,Outside of Chicago,The Loop,Near North Side,Near West Side,Douglas,592,568,253,189,57,Outside of Chicago,South Shore,Chicago Lawn,Chatham,Logan Square,53,8,8,7,6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10286,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,8.020,372.037,25.680,0.06903,56.809,0.15270,0.143,0.00038,2.285,0.00614,63.401,0.17042,N/A,N/A,117.155,0.31490,N/A,N/A,66.715,0.17932,39.849,0.10711,1277,743,296,544,1517,712,1343,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5434,591,6025,5321,704,157,5321,203,6,0,14,0,0,25,116,340,40,58,5957,8,47
O'Hare,11665,12756,13130,2507,3332,3192,2101,1180,579,238,37.2,9664,1147,233,1423,662,13183,10919,7285,6681,604,3633,192,6369,4932,269,1061,60,47,N/A,657,3381,1885,314,10206,1130,2354,2066,930,2351,1375,1726,1427,1329,945,493,311,49209,6231,2686,3550,409,6645,898,31,352,255,5110,4.5,280,3326,2946,93,N/A,1980,3434,1139,26,65,5389,Health Care,Retail Trade,Manufacturing,Transportation,Administration,621,535,471,455,444,48110,Transportation,Accommodation and Food Service,Professional,Administration,Information,28461,3649,3052,2268,2209,Outside of Chicago,The Loop,O'Hare,Near North Side,Near West Side,2934,701,467,225,181,Outside of Chicago,Lake View,Austin,Logan Square,Near North Side,32958,743,707,692,646,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.140,8536.171,97.337,0.01140,134.028,0.01570,N/A,N/A,139.822,0.01638,55.985,0.00656,32.674,0.00383,6481.928,0.75935,N/A,N/A,1454.513,0.17039,139.885,0.01639,2504,2025,993,709,3489,384,2742,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5629,6656,12286,4567,7719,3444,4567,828,3764,60,361,978,36,491,1080,120,9486,761,249,864,305
Portage Park,65340,64124,64517,15160,14457,14215,13346,4123,2223,995,37.8,31774,27575,862,2946,1360,64438,52346,37243,34296,2939,15104,911,32755,21967,3636,5994,798,360,N/A,3016,8990,7893,2816,44832,7462,12802,8808,3622,8117,4022,4609,5177,4382,3051,3103,2392,58295,22714,12809,9905,2159,24873,10605,268,5791,4103,4019,5.8,522,2520,6943,14889,N/A,4010,9363,7077,3202,1221,25907,Health Care,Retail Trade,Manufacturing,Accommodation and Food Service,Education,3287,2848,2648,2368,2137,8076,Retail Trade,Health Care,Accommodation and Food Service,Administration,Finance,2011,1881,747,632,510,Outside of Chicago,The Loop,Near North Side,Near West Side,Portage Park,11801,3841,1506,983,982,Outside of Chicago,Portage Park,Dunning,Belmont Cragin,Irving Park,3750,982,351,335,185,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15569,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.144,2529.754,936.151,0.37006,401.265,0.15862,42.145,0.01666,145.722,0.05760,90.090,0.03561,21.745,0.00860,811.887,0.32094,N/A,N/A,70.061,0.02769,10.689,0.00423,6062,6505,4150,5996,15298,1726,7415,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39822,20830,60652,25252,35400,14882,25252,21290,8233,180,1709,759,131,416,2367,316,45418,15022,336,2467,2097
Pullman,8921,7325,6620,1568,1288,1378,1301,672,329,84,40.7,633,335,5474,43,135,6620,5344,3435,2739,696,1909,58,2570,1467,206,824,73,0,N/A,749,1464,600,154,4670,597,1195,1401,324,799,354,1086,912,370,301,245,53,37165,2967,1369,1598,502,3469,1024,1509,283,353,293,5.6,14,358,1525,1572,N/A,502,1526,1104,273,64,2919,Health Care,Education,Retail Trade,Administration,Accommodation and Food Service,513,351,318,292,249,2547,Transportation,Wholesale Trade,Manufacturing,Education,Retail Trade,515,498,487,367,360,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,1202,586,164,103,50,Outside of Chicago,East Side,Roseland,Auburn Gresham,Chatham,1237,94,75,59,58,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13259,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.444,1354.489,139.514,0.10300,78.206,0.05774,2.181,0.00161,55.892,0.04126,164.389,0.12137,255.756,0.18882,445.249,0.32872,N/A,N/A,2.759,0.00204,210.543,0.15544,1250,970,349,398,1670,572,1297,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5931,238,6169,5706,463,271,5706,315,0,11,0,0,0,13,98,26,757,795,7262,15,92
Riverdale,9809,6482,7382,3494,1731,1073,733,223,69,59,21.3,135,265,6926,26,30,7333,4555,2575,1624,951,1980,27,1543,737,122,571,89,24,N/A,1172,935,207,95,3218,778,854,1146,279,106,55,1638,548,114,61,40,8,14287,2409,251,2158,903,3312,605,1582,75,106,944,5.0,27,218,2705,362,N/A,419,1324,1275,247,47,1739,Health Care,Administration,Retail Trade,Accommodation and Food Service,Transportation,396,231,184,174,152,1074,Manufacturing,Utilities,Transportation,Health Care,Professional,292,257,190,83,83,Outside of Chicago,The Loop,Near North Side,Near West Side,Roseland,787,166,100,84,42,Outside of Chicago,Roseland,Riverdale,East Side,Auburn Gresham,783,21,18,17,16,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9844,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.995,2258.712,222.464,0.09849,49.857,0.02207,0.834,0.00037,28.729,0.01272,58.488,0.02589,252.314,0.11171,1143.900,0.50644,6.085,0.00269,269.401,0.11927,226.640,0.10034,579,644,612,574,1756,1088,653,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6247,155,6402,6165,237,125,6165,211,0,17,0,0,0,0,0,9,66,160,9479,7,97
Rogers Park,63484,54991,55500,12092,16967,12526,9130,2718,1268,799,33.8,23604,12383,14455,3205,1853,52018,46264,32270,29377,2860,13994,1582,27375,10492,1757,11792,2764,570,N/A,8981,11293,3468,516,38014,5708,7175,6986,1825,9693,6627,8558,6268,4048,2167,1944,1273,37549,24258,5793,18465,3275,27533,1665,507,873,2578,21896,4.4,1144,3603,7285,15501,N/A,13956,8690,3662,811,414,23090,Health Care,Education,Accommodation and Food Service,Retail Trade,Professional,3724,2577,2524,2251,2219,7348,Health Care,Manufacturing,Accommodation and Food Service,Retail Trade,Transportation,2794,1621,740,608,482,Outside of Chicago,The Loop,Near North Side,Near West Side,Rogers Park,9193,3840,2375,1055,889,Outside of Chicago,Rogers Park,West Ridge,Edgewater,Uptown,3085,889,646,293,189,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9001,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.394,1175.921,145.870,0.12405,372.638,0.31689,21.813,0.01855,60.757,0.05167,80.280,0.06827,49.885,0.04242,371.124,0.31560,N/A,N/A,69.049,0.05872,4.506,0.00383,11176,7394,2228,3460,9762,1819,14496,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,37641,14518,52159,32664,19495,8197,32664,10915,1265,447,350,316,100,662,2896,2544,20170,17639,18767,4063,2845
Roseland,52723,44619,42327,11388,7752,7207,8499,4097,2586,798,39.5,417,396,40798,169,547,41707,33820,18605,13757,4821,15215,414,13055,7414,1033,4175,370,63,N/A,3733,6218,3587,954,27966,4252,6942,8695,2531,3448,2098,5332,3703,2234,1399,1363,461,37067,14492,7943,6549,3402,17894,10693,1335,2421,1475,1883,6.2,871,1435,9294,6294,N/A,1723,5589,6725,2606,1251,12887,Health Care,Education,Administration,Retail Trade,Transportation,2516,1456,1374,1206,1104,3448,Health Care,Administration,Accommodation and Food Service,Retail Trade,Education,1151,1123,339,311,142,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,4878,2712,741,695,185,Outside of Chicago,Roseland,West Pullman,Auburn Gresham,Chatham,1764,178,139,91,74,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13634,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.053,3083.418,1138.096,0.36910,182.021,0.05903,15.566,0.00505,71.915,0.02332,322.041,0.10444,10.647,0.00345,1124.944,0.36484,N/A,N/A,70.255,0.02278,147.933,0.04798,4528,4069,2357,3538,9568,2365,4924,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39190,890,40080,38492,1588,411,38492,669,54,31,58,39,15,59,495,168,276,363,51568,31,485
South Chicago,38596,31198,27601,8299,5179,4987,5125,2091,1600,320,36.0,672,5810,20826,16,277,27429,21079,12597,9818,2779,8482,303,9193,5085,610,3111,226,161,N/A,3519,4147,2050,509,17148,3450,5356,4446,1262,1763,871,4584,2728,1485,707,526,195,28824,10225,3912,6313,3865,14090,4157,228,3626,2870,3193,5.7,372,988,5498,7232,N/A,2476,4659,4921,1415,619,8434,Health Care,Administration,Retail Trade,Accommodation and Food Service,Education,1569,918,902,814,765,3001,Health Care,Accommodation and Food Service,Retail Trade,Construction,Education,1174,657,380,153,143,Outside of Chicago,The Loop,Near North Side,Near West Side,South Chicago,3192,1489,550,456,215,Outside of Chicago,South Chicago,East Side,South Shore,South Deering,1450,215,200,88,77,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11994,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.464,2140.676,367.155,0.17151,271.263,0.12672,24.123,0.01127,65.836,0.03075,73.271,0.03423,34.467,0.01610,631.833,0.29516,N/A,N/A,62.891,0.02938,609.836,0.28488,3531,2695,1835,2164,6268,2091,3957,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,22536,2792,25328,19928,5400,2274,19928,4518,58,16,0,14,0,0,402,392,1135,10565,26253,49,594
South Deering,16990,15109,14635,4549,2697,2351,2644,1479,692,223,35.6,781,4139,9575,1,139,14548,11049,6322,4717,1605,4727,150,4422,2876,521,912,91,22,N/A,1078,2238,1222,474,9345,1906,3222,2555,591,613,458,2005,1364,928,393,250,72,34078,5012,2915,2097,758,5770,2678,1670,596,335,461,6.0,8,481,3604,1677,N/A,431,2159,2315,670,195,4586,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,777,464,436,421,417,6725,Manufacturing,Transportation,Wholesale Trade,Administration,Retail Trade,4387,516,410,377,321,Outside of Chicago,The Loop,Near North Side,Near West Side,South Deering,1670,872,326,244,123,Outside of Chicago,East Side,South Deering,Roseland,West Pullman,4956,128,123,94,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14866,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2.224,6974.221,417.031,0.05980,63.418,0.00909,8.326,0.00119,63.869,0.00916,40.479,0.00580,646.243,0.09266,4541.854,0.65123,N/A,N/A,553.101,0.07931,639.900,0.09175,1564,1320,920,1208,3343,844,1669,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11981,1775,13756,10216,3540,1456,10216,3119,149,0,0,0,0,1,207,64,1287,5176,10335,8,184
South Lawndale,91071,79288,73983,24104,19794,15470,9753,2906,1434,522,29.1,2545,62126,8831,201,280,65442,54964,28415,25683,2732,26549,724,24658,12472,5566,4234,2056,330,N/A,4159,7883,4407,1471,42649,21173,11936,4873,1692,2190,785,7069,5870,2755,980,1037,209,31766,17920,6425,11495,3289,21209,3781,415,8020,6098,2821,4.9,174,1073,2278,17684,N/A,2502,11002,5550,1385,770,16572,Manufacturing,Administration,Retail Trade,Accommodation and Food Service,Health Care,2716,2187,1907,1711,1686,11831,Manufacturing,Health Care,Transportation,Accommodation and Food Service,Retail Trade,2512,2298,1395,1168,1157,Outside of Chicago,The Loop,South Lawndale,Near West Side,Near North Side,7151,1775,858,850,764,Outside of Chicago,South Lawndale,Brighton Park,West Lawn,Chicago Lawn,5694,858,228,219,202,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11173,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.370,2938.437,238.114,0.08103,437.048,0.14873,42.994,0.01463,107.556,0.03660,318.166,0.10828,488.645,0.16629,1057.503,0.35989,N/A,N/A,25.730,0.00876,222.681,0.07578,3139,3473,3086,8222,13874,3457,4046,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,39441,28400,67841,14954,52887,25033,14954,52409,141,0,57,50,41,19,164,6,3210,75613,11759,116,373
South Shore,61556,52010,50768,13610,10453,10059,9875,3650,2304,817,36.9,1467,924,47326,258,793,49719,40047,23117,18373,4744,16930,597,17466,8095,1259,7414,503,194,N/A,9785,9345,2966,723,33174,3926,7955,10283,2847,4841,3322,11323,5134,2769,1744,1192,599,25260,22761,5019,17742,6391,29152,3683,695,2466,5118,17169,5.1,986,3159,12487,12520,N/A,10807,9783,6187,1503,872,15916,Health Care,Administration,Education,Retail Trade,Accommodation and Food Service,3032,1823,1675,1599,1415,3287,Health Care,Retail Trade,Other Service,Administration,Construction,1217,639,372,278,184,Outside of Chicago,The Loop,Near North Side,Near West Side,South Shore,5111,3138,1391,1007,387,Outside of Chicago,South Shore,Greater Grand Crossing,Roseland,Auburn Gresham,1191,387,122,95,92,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9846,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.046,1877.045,373.165,0.19880,465.681,0.24809,19.643,0.01046,94.499,0.05034,72.087,0.03840,14.507,0.00773,610.504,0.32525,0.072,0.00004,144.726,0.07710,82.161,0.04377,11438,5051,3187,3085,10209,3862,12552,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,45309,1653,46962,44314,2648,1039,44314,1056,38,31,96,20,38,113,467,788,703,636,59405,85,727
