"FID_wnv_tr","trap_name","rev_lat","rev_lng","nrows","latlng_cnt","wnv_presen","wnv_pres_1","Field8","wnv_absent","Field10","Field11","Field12","Field13","Field14","Field15","sd_Mosquit","FID_tl_201","ZCTA5CE10","GEOID10","CLASSFP10","MTFCC10","FUNCSTAT10","ALAND10","AWATER10","INTPTLAT10","INTPTLON10"
55,"T063",41.8253982565,-87.7239621367,0,"FALSE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
56,"T063B",41.8260653407,-87.7239760927,0,"TRUE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
128,"T157",41.8264764668,-87.6467319796,0,"FALSE",,0,,0,,,,,,,,14926,"60609","60609","B5","G6350","S",20050131,91903,"+41.8126802","-087.6569347"
33,"T035.2",41.8366302,-87.6777392,0,"FALSE",,0,,0,,,,,,,,14922,"60608","60608","B5","G6350","S",16322718,568479,"+41.8468804","-087.6706636"
34,"T036",41.8369118886,-87.7315789027,0,"FALSE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
31,"T034",41.8416841809,-87.6851487364,0,"FALSE",,0,,0,,,,,,,,14922,"60608","60608","B5","G6350","S",16322718,568479,"+41.8468804","-087.6706636"
47,"T051",41.8455294771,-87.6560501353,0,"FALSE",,0,,0,,,,,,,,14922,"60608","60608","B5","G6350","S",16322718,568479,"+41.8468804","-087.6706636"
123,"T152",41.8457154018,-87.7158985974,0,"FALSE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
37,"T040",41.8517688928,-87.719728203,0,"FALSE",,0,,0,,,,,,,,21572,"60623","60623","B5","G6350","S",13911298,224875,"+41.8488968","-087.7176611"
38,"T043",41.8578372938,-87.6358619856,0,"FALSE",,0,,0,,,,,,,,21197,"60616","60616","B5","G6350","S",10354601,1602198,"+41.8448829","-087.6240323"
44,"T048",41.8669151816,-87.6549188436,0,"FALSE",,0,,0,,,,,,,,14922,"60608","60608","B5","G6350","S",16322718,568479,"+41.8468804","-087.6706636"
43,"T047",41.8675992537,-87.6957854426,0,"FALSE",,0,,0,,,,,,,,21187,"60612","60612","B5","G6350","S",9709580,0,"+41.8803125","-087.6877424"
29,"T167",41.8728728625,-87.764736532,0,"FALSE",,0,,0,,,,,,,,22219,"60644","60644","B5","G6350","S",9074673,24575,"+41.8800843","-087.7563733"
28,"T030B",41.8837112946,-87.7160920918,0,"TRUE",,0,,0,,,,,,,,21575,"60624","60624","B5","G6350","S",9155265,14139,"+41.8805038","-087.7244439"
27,"T030",41.8837717768,-87.7161683651,0,"FALSE",,0,,0,,,,,,,,21575,"60624","60624","B5","G6350","S",9155265,14139,"+41.8805038","-087.7244439"
39,"T044",41.8841995855,-87.6200866467,0,"FALSE",,0,,0,,,,,,,,14311,"60601","60601","B5","G6350","S",934220,61223,"+41.8856419","-087.6215226"
42,"T046B",41.8914545209,-87.6897626564,0,"TRUE",,0,,0,,,,,,,,21187,"60612","60612","B5","G6350","S",9709580,0,"+41.8803125","-087.6877424"
107,"T129",41.8915130223,-87.6097848219,0,"FALSE",,0,,0,,,,,,,,21185,"60611","60611","B5","G6350","S",2117488,1522781,"+41.8939292","-087.6144969"
41,"T046",41.8922199832,-87.6916977287,0,"FALSE",,0,,0,,,,,,,,21187,"60612","60612","B5","G6350","S",9709580,0,"+41.8803125","-087.6877424"
45,"T049",41.8961310926,-87.6567621239,0,"FALSE",,0,,0,,,,,,,,22623,"60642","60642","B5","G6350","S",4281345,207462,"+41.9020418","-087.6585438"
157,"T230",41.9047734478,-87.7556857529,0,"FALSE",,0,,0,,,,,,,,4299,"60651","60651","B5","G6350","S",9052862,0,"+41.9020934","-087.7408565"
30,"T033",41.9072848728,-87.7013946368,0,"FALSE",,0,,0,,,,,,,,21563,"60622","60622","B5","G6350","S",6398118,10221,"+41.9021720","-087.6833374"
124,"T153",41.9093399585,-87.7610782823,0,"FALSE",,0,,0,,,,,,,,22618,"60639","60639","B5","G6350","S",12632837,0,"+41.9205526","-087.7560542"
159,"T232",41.9130518627,-87.667905236,0,"FALSE",,0,,0,,,,,,,,21563,"60622","60622","B5","G6350","S",6398118,10221,"+41.9021720","-087.6833374"
36,"T039",41.9135675823,-87.7263003018,0,"FALSE",,0,,0,,,,,,,,22538,"60647","60647","B5","G6350","S",10410316,89620,"+41.9212149","-087.7010284"
122,"T151",41.9161347185,-87.8010928086,0,"FALSE",,0,,0,,,,,,,,4454,"60707","60707","B5","G6350","S",9344358,0,"+41.9218528","-087.8072823"
166,"T240",41.9186757542,-87.6643744437,0,"FALSE",,0,,0,,,,,,,,21193,"60614","60614","B5","G6350","S",8080173,864324,"+41.9227137","-087.6495775"
167,"T240B",41.9191932452,-87.6647607504,0,"TRUE",,0,,0,,,,,,,,21193,"60614","60614","B5","G6350","S",8080173,864324,"+41.9227137","-087.6495775"
46,"T050",41.9198789356,-87.6949018154,0,"FALSE",,0,,0,,,,,,,,22538,"60647","60647","B5","G6350","S",10410316,89620,"+41.9212149","-087.7010284"
125,"T154",41.9204121597,-87.7524994666,0,"FALSE",,0,,0,,,,,,,,22618,"60639","60639","B5","G6350","S",12632837,0,"+41.9205526","-087.7560542"
35,"T037",41.9210539144,-87.7957507013,0,"FALSE",,0,,0,,,,,,,,4454,"60707","60707","B5","G6350","S",9344358,0,"+41.9218528","-087.8072823"
40,"T045",41.9217045742,-87.6669632347,0,"FALSE",,0,,0,,,,,,,,21193,"60614","60614","B5","G6350","S",8080173,864324,"+41.9227137","-087.6495775"
51,"T054C",41.9217769034,-87.6321404519,0,"TRUE",,0,,0,,,,,,,,21193,"60614","60614","B5","G6350","S",8080173,864324,"+41.9227137","-087.6495775"
50,"T054B",41.9220638,-87.6322330599,0,"TRUE",,0,,0,,,,,,,,21193,"60614","60614","B5","G6350","S",8080173,864324,"+41.9227137","-087.6495775"
48,"T054",41.9225123769,-87.6323776704,0,"FALSE",,0,,0,,,,,,,,21193,"60614","60614","B5","G6350","S",8080173,864324,"+41.9227137","-087.6495775"
49,"T054A",41.9227366495,-87.6324499672,0,"TRUE",,0,,0,,,,,,,,21193,"60614","60614","B5","G6350","S",8080173,864324,"+41.9227137","-087.6495775"
16,"T013",41.9238873643,-87.7789099121,0,"FALSE",,0,,0,,,,,,,,22618,"60639","60639","B5","G6350","S",12632837,0,"+41.9205526","-087.7560542"
149,"T222",41.9252867835,-87.7474591238,0,"FALSE",,0,,0,,,,,,,,22618,"60639","60639","B5","G6350","S",12632837,0,"+41.9205526","-087.7560542"
168,"T241",41.9305305416,-87.7618073773,0,"FALSE",,0,,0,,,,,,,,22618,"60639","60639","B5","G6350","S",12632837,0,"+41.9205526","-087.7560542"
118,"T147",41.9327902099,-87.7002378838,0,"FALSE",,0,,0,,,,,,,,21541,"60618","60618","B5","G6350","S",12942883,165560,"+41.9475679","-087.7026468"
145,"T218C",41.9340749896,-87.7379570445,0,"TRUE",,0,,0,,,,,,,,22621,"60641","60641","B5","G6350","S",10468072,0,"+41.9466057","-087.7467867"
115,"T144",41.9407816977,-87.7944297589,0,"FALSE",,0,,0,,,,,,,,22257,"60634","60634","B5","G6350","S",18422451,24085,"+41.9461885","-087.8061174"
8,"T005",41.9419905128,-87.777231472,0,"FALSE",,0,,0,,,,,,,,22257,"60634","60634","B5","G6350","S",18422451,24085,"+41.9461885","-087.8061174"
